Node,test,test
NHS Barnsley CCG,4,4
NHS Basildon and Brentwood CCG,3,3
NHS Bassetlaw CCG,4,4
NHS Blackburn with Darwen CCG,5,5
NHS Blackpool CCG,6,6
NHS Bolton CCG,4,4
NHS Brighton and Hove CCG,2,2
NHS Bury CCG,3,3
NHS Calderdale CCG,4,4
NHS Cambridgeshire and Peterborough CCG,6,6
NHS Cannock Chase CCG,5,5
NHS Castle Point and Rochford CCG,4,4
NHS Chorley and South Ribble CCG,1,1
NHS Doncaster CCG,2,2
NHS Dorset CCG,3,3
NHS East and North Hertfordshire CCG,4,4
NHS East Lancashire CCG,54,54
NHS East Leicestershire and Rutland CCG,43,43
NHS East Riding of Yorkshire CCG,12,12
NHS East Staffordshire CCG,213,213
NHS Gloucestershire CCG,432,432
NHS Halton CCG,432,432
NHS Herts Valleys CCG,123,123
NHS Heywood Middleton and Rochdale CCG,3,3
NHS Hull CCG,54,54
NHS Ipswich and East Suffolk CCG,43,43
NHS Kernow CCG,321,321
NHS Knowsley CCG,12,12
NHS Leicester City CCG,324,324
NHS Liverpool CCG,43,43
NHS Mid Essex CCG,34,34
NHS North East Essex CCG,32,32
NHS North East Lincolnshire CCG,43,43
NHS North Lincolnshire CCG,231,231
NHS North Staffordshire CCG,2,2
NHS North Tyneside CCG,32,32
NHS Northumberland CCG,4,4
NHS Oldham CCG,3,3
NHS Oxfordshire CCG,4,4
NHS Portsmouth CCG,5,5
NHS Rotherham CCG,6,6
NHS Salford CCG,4,4
NHS Sheffield CCG,2,2
NHS Somerset CCG,3,3
NHS South East Staffordshire and Seisdon Peninsula CCG,4,4
NHS South Sefton CCG,6,6
NHS South Tyneside CCG,5,5
NHS Southend CCG,4,4
NHS Southport and Formby CCG,1,1
NHS St Helens CCG,2,2
NHS Stafford and Surrounds CCG,3,3
NHS Stockport CCG,4,4
NHS Stoke on Trent CCG,54,54
NHS Sunderland CCG,43,43
NHS Tameside and Glossop CCG,12,12
NHS Thurrock CCG,213,213
NHS Trafford CCG,432,432
NHS Vale of York CCG,432,432
NHS Wakefield CCG,123,123
NHS Warrington CCG,3,3
NHS West Essex CCG,54,54
NHS West Lancashire CCG,43,43
NHS West Leicestershire CCG,321,321
NHS West Suffolk CCG,12,12
NHS Wigan Borough CCG,324,324
NHS Wirral CCG,43,43
NHS Newcastle Gateshead CCG,34,34
NHS North Cumbria CCG,32,32
NHS Manchester CCG,43,43
NHS Birmingham and Solihull CCG,231,231
NHS Berkshire West CCG,2,2
NHS Bristol North Somerset and South Gloucestershire CCG,32,32
NHS Buckinghamshire CCG,4,4
NHS Leeds CCG,5,5
NHS Fylde and Wyre CCG,6,6
NHS Greater Preston CCG,4,4
NHS Morecambe Bay CCG,2,2
NHS Derby and Derbyshire CCG,3,3
NHS Devon CCG,4,4
NHS Bath and North East Somerset Swindon and Wiltshire CCG,6,6
NHS Bradford District and Craven CCG,5,5
NHS Cheshire CCG,4,4
NHS County Durham CCG,1,1
NHS East Sussex CCG,2,2
NHS Herefordshire and Worcestershire CCG,3,3
NHS Kent and Medway CCG,4,4
NHS Lincolnshire CCG,54,54
NHS Norfolk and Waveney CCG,43,43
NHS North Central London CCG,12,12
NHS North Yorkshire CCG,213,213
NHS Northamptonshire CCG,432,432
NHS Nottingham and Nottinghamshire CCG,432,432
NHS South East London CCG,123,123
NHS South West London CCG,3,3
NHS Surrey Heartlands CCG,54,54
NHS Tees Valley CCG,43,43
NHS West Sussex CCG,321,321
NHS Bedfordshire Luton and Milton Keynes CCG,12,12
NHS Black Country and West Birmingham CCG,324,324
NHS Coventry and Warwickshire CCG,43,43
NHS Frimley CCG,34,34
NHS Hampshire Southampton and Isle of Wight CCG,32,32
NHS Kirklees CCG,43,43
NHS North East London CCG,231,231
NHS North West London CCG,2,2
NHS Shropshire Telford and Wrekin CCG,32,32
